 ,Area1,Mean1,Min1,Max1,Area2,Mean2,Min2,Max2,Area3,Mean3,Min3,Max3
1,1.128,12877.486,12551,13179,1.128,13029.892,12662,13250,1.128,569.324,502,618
2,1.128,12219.919,11919,12453,1.128,12377.378,12113,12635,1.128,544.838,500,598
3,1.128,11986.405,11646,12307,1.128,12123.324,11778,12407,1.128,533.270,475,616
4,1.128,11819.243,11559,12150,1.128,12032.865,11805,12302,1.128,529.432,477,579
5,1.128,11694.108,11421,11960,1.128,11899.865,11682,12177,1.128,524.081,461,578
6,1.128,11619.243,11370,12005,1.128,11770.703,11438,12100,1.128,522.541,464,576
7,1.128,11529.514,11198,11744,1.128,11723.757,11328,12094,1.128,500.973,449,557
8,1.128,11471.865,11220,11932,1.128,11623.729,11341,11928,1.128,498.270,449,555
9,1.128,11350.027,11006,11629,1.128,11702.459,11458,11898,1.128,494.405,428,542
10,1.128,11263.189,11059,11461,1.128,11608.243,11363,11839,1.128,503.541,448,551
11,1.128,2192.865,1746,2693,1.128,12188.108,11877,12437,1.128,489.784,427,559
12,1.128,2896.324,2539,3286,1.128,11710.189,11409,11926,1.128,482.459,426,526
13,1.128,3648.487,3341,4115,1.128,11782.352,11565,12010,1.128,472.568,396,518
14,1.128,4077.406,3821,4454,1.128,11486.865,11161,11724,1.128,465.162,399,511
15,1.128,4385.729,4078,4686,1.128,11372.946,11004,11656,1.128,460.865,423,516
16,1.128,4745.108,4511,5068,1.128,11237.838,10994,11554,1.128,460.730,410,505
17,1.128,4990.838,4718,5359,1.128,11230.135,10881,11586,1.128,460.135,395,516
18,1.128,5230.541,4907,5625,1.128,11109.162,10906,11336,1.128,461.162,406,533
19,1.128,5473.919,5156,5866,1.128,11108.027,10851,11395,1.128,453.730,397,502
20,1.128,5691.595,5314,5962,1.128,11155.811,10914,11527,1.128,450.892,395,501
21,1.128,5836.973,5585,6136,1.128,11036.324,10693,11203,1.128,458.919,406,502
