 ,Area1,Mean1,Min1,Max1,Area2,Mean2,Min2,Max2,Area3,Mean3,Min3,Max3
1,1.128,19893.486,19502,20303,1.128,20012.135,19685,20355,1.128,469.405,434,510
2,1.128,18805.055,18276,19270,1.128,18949.459,18386,19557,1.128,467.216,407,507
3,1.128,18357.918,18119,18651,1.128,18607.621,18110,19233,1.128,447.919,402,500
4,1.128,18089.703,17495,18507,1.128,18241.918,17664,18769,1.128,442.405,394,493
5,1.128,17761.621,17286,18146,1.128,18144.217,17613,18677,1.128,443.568,398,490
6,1.128,17632.352,17243,18102,1.128,17820.055,17294,18490,1.128,444.324,383,529
7,1.128,17581.514,17202,18045,1.128,17770.811,17376,18437,1.128,435.486,385,476
8,1.128,17800.107,17441,18219,1.128,17855.270,17424,18425,1.128,438.027,392,475
9,1.128,17287.082,16988,17612,1.128,17511.893,17059,17932,1.128,396.135,344,447
10,1.128,17073.945,16608,17365,1.128,17219.189,16873,17733,1.128,393.270,354,446
11,1.128,2142.135,1606,2948,1.128,18332.973,17843,18781,1.128,391.622,340,427
12,1.128,2594.703,1924,3459,1.128,17774.865,17238,18170,1.128,386.324,361,418
13,1.128,3109.676,2430,3968,1.128,17557.027,17126,17947,1.128,383.027,343,441
14,1.128,3492.703,2810,4292,1.128,17329.379,16677,17794,1.128,375.216,319,420
15,1.128,3824.784,3160,4488,1.128,17099.811,16753,17405,1.128,375.919,338,410
16,1.128,4210.108,3618,4929,1.128,17151.379,16692,17725,1.128,370.297,319,409
17,1.128,4522.459,3939,5327,1.128,16884.432,16497,17252,1.128,373.919,328,419
18,1.128,4771.054,4232,5485,1.128,16773.000,16464,17141,1.128,368.162,325,405
19,1.128,5011.297,4432,5700,1.128,16512.189,16172,16793,1.128,362.703,336,399
20,1.128,5288.000,4831,5854,1.128,16488.865,16173,16800,1.128,369.730,302,406
21,1.128,5476.784,5033,6098,1.128,16421.027,16163,16772,1.128,356.838,321,413
22,1.128,5698.216,5264,6232,1.128,16398.162,15983,16683,1.128,361.189,321,392
23,1.128,5886.081,5438,6368,1.128,16255.162,15940,16526,1.128,359.649,320,397
24,1.128,6024.622,5453,6604,1.128,16366.405,16028,16670,1.128,353.405,309,393
25,1.128,6249.000,5700,6793,1.128,16289.486,16016,16558,1.128,357.838,327,400
26,1.128,6450.514,5910,7022,1.128,16305.784,16055,16514,1.128,356.162,314,399
27,1.128,6685.567,6290,7270,1.128,16420.270,15938,16785,1.128,354.514,320,384
28,1.128,6767.622,6382,7314,1.128,16080.567,15782,16463,1.128,350.081,318,403
29,1.128,6856.054,6436,7324,1.128,16073.027,15789,16384,1.128,347.865,302,385
30,1.128,7059.892,6649,7664,1.128,16165.784,15841,16587,1.128,346.568,311,389
31,1.128,7091.567,6711,7639,1.128,15935.352,15652,16268,1.128,343.514,319,382
32,1.128,7218.189,6799,7677,1.128,15756.108,15397,16001,1.128,336.757,305,374
33,1.128,7303.378,6881,7736,1.128,15783.838,15501,16110,1.128,336.405,293,378
34,1.128,7421.243,7034,7889,1.128,15729.081,15089,16051,1.128,334.622,298,387
35,1.128,7654.081,7237,8239,1.128,15980.811,15693,16413,1.128,335.703,295,365
36,1.128,7649.027,7243,8161,1.128,15846.486,15533,16333,1.128,338.865,301,390
37,1.128,7743.622,7309,8299,1.128,15722.135,15424,16107,1.128,334.784,287,379
38,1.128,7771.378,7359,8540,1.128,15653.514,15247,16017,1.128,332.757,294,381
39,1.128,7857.648,7442,8434,1.128,15515.567,15228,15919,1.128,333.162,298,391
40,1.128,7999.784,7541,8512,1.128,15500.892,15118,15891,1.128,335.027,283,363
41,1.128,8129.135,7701,8642,1.128,15586.784,15296,15893,1.128,337.162,292,377
42,1.128,8261.919,7950,8763,1.128,15619.892,15222,15992,1.128,337.568,305,365
43,1.128,8287.459,7906,8772,1.128,15482.243,15075,16116,1.128,334.189,293,369
44,1.128,8306.243,7886,8866,1.128,15348.271,14936,15627,1.128,336.541,286,379
45,1.128,8366.378,7968,9033,1.128,15391.865,15074,15762,1.128,325.838,301,366
46,1.128,8424.946,8037,8819,1.128,15383.486,15026,15838,1.128,336.622,307,385
47,1.128,8529.729,8057,9018,1.128,15328.433,14859,15782,1.128,331.378,294,361
48,1.128,8522.729,8063,9018,1.128,15376.405,14991,15701,1.128,338.135,295,378
49,1.128,8689.973,8340,9292,1.128,15283.567,14956,15787,1.128,332.568,292,365
50,1.128,8721.892,8356,9148,1.128,15323.648,14944,15656,1.128,327.243,285,364
51,1.128,8771.622,8439,9266,1.128,15162.459,14780,15682,1.128,331.027,296,378
52,1.128,8858.946,8522,9353,1.128,15194.595,14626,15828,1.128,330.405,286,359
53,1.128,8826.433,8435,9213,1.128,15149.567,14754,15673,1.128,328.703,290,376
54,1.128,8924.919,8531,9309,1.128,15244.703,14838,15673,1.128,330.568,287,370
55,1.128,8955.973,8522,9374,1.128,15128.135,14695,15637,1.128,324.459,291,360
56,1.128,9094.027,8514,9644,1.128,15382.000,14948,15800,1.128,320.622,287,347
57,1.128,9179.622,8724,9640,1.128,15521.324,15109,15995,1.128,318.973,275,355
58,1.128,9226.378,8728,9741,1.128,15438.622,15047,15939,1.128,320.405,293,360
59,1.128,9329.459,8783,9846,1.128,15517.514,15144,16022,1.128,315.000,271,367
60,1.128,9326.892,8841,9797,1.128,15529.729,15180,15939,1.128,317.486,292,357
61,1.128,9431.648,8958,9929,1.128,15516.541,15268,15877,1.128,317.216,275,373
62,1.128,9437.973,8994,9949,1.128,15534.081,15154,15963,1.128,309.541,280,351
63,1.128,9491.135,9043,10063,1.128,15421.000,14990,15819,1.128,315.649,283,346
64,1.128,9533.648,9125,9922,1.128,15435.433,15035,15811,1.128,316.541,272,352
65,1.128,9496.405,9089,9940,1.128,15371.919,15007,15703,1.128,317.459,274,362
66,1.128,9572.595,9276,9944,1.128,15447.352,15049,15939,1.128,316.595,285,351
67,1.128,9585.405,9207,10017,1.128,15330.865,14940,15704,1.128,316.811,283,349
68,1.128,9656.135,9273,10111,1.128,15329.892,14973,15738,1.128,310.703,277,355
69,1.128,9722.919,9369,10073,1.128,15316.297,14753,15779,1.128,315.027,279,355
70,1.128,9695.162,9411,10070,1.128,15265.757,14909,15710,1.128,314.054,276,355
