 ,Area1,Mean1,Min1,Max1,Area2,Mean2,Min2,Max2,Area3,Mean3,Min3,Max3
1,0.976,20790.812,20186,21527,0.976,21144.594,20701,21634,0.976,602.219,499,699
2,0.976,19697.250,18994,20450,0.976,20118.562,19521,20586,0.976,584.594,501,675
3,0.976,19259.938,18613,19780,0.976,19635.250,19106,20072,0.976,570.406,459,719
4,0.976,18942.125,18357,19445,0.976,19201.469,18643,19590,0.976,565.500,460,667
5,0.976,18648.469,18077,19322,0.976,18893.750,18220,19340,0.976,558.000,466,714
6,0.976,18558.406,18028,19079,0.976,18853.500,18333,19357,0.976,549.500,406,643
7,0.976,18422.031,17851,19014,0.976,18635.062,18146,19052,0.976,539.344,448,677
8,0.976,18259.656,17770,18790,0.976,18629.562,18132,19023,0.976,544.531,472,659
9,0.976,18095.469,17468,18617,0.976,18419.688,17984,18814,0.976,541.125,469,660
10,0.976,18172.562,17257,18624,0.976,18512.062,18227,18894,0.976,536.875,452,632
11,0.976,2419.562,1715,3526,0.976,19504.688,19054,19948,0.976,548.031,443,679
12,0.976,2909.969,2114,3977,0.976,18587.719,18019,18982,0.976,530.250,433,670
13,0.976,3507.125,2854,4429,0.976,18462.438,17971,18847,0.976,526.750,437,645
14,0.976,3894.312,3102,4914,0.976,18043.094,17641,18369,0.976,516.656,434,615
15,0.976,4351.531,3767,5268,0.976,17995.125,17483,18270,0.976,510.562,404,613
16,0.976,4680.188,3997,5517,0.976,17840.062,17448,18192,0.976,514.312,440,642
17,0.976,4999.188,4358,6007,0.976,17726.438,17278,18048,0.976,507.938,441,635
18,0.976,5330.844,4727,6104,0.976,17596.719,17196,17958,0.976,505.219,429,595
19,0.976,5658.344,5135,6481,0.976,17496.031,17029,17877,0.976,504.656,407,651
20,0.976,5912.469,5398,6645,0.976,17431.031,17014,17809,0.976,498.625,439,613
21,0.976,6125.094,5652,6871,0.976,17297.094,16909,17531,0.976,496.281,412,594
22,0.976,6336.938,5848,7123,0.976,17236.906,16903,17560,0.976,495.312,395,585
23,0.976,6653.719,6267,7369,0.976,17186.906,16719,17525,0.976,497.375,378,648
24,0.976,6866.781,6499,7444,0.976,17000.469,16422,17255,0.976,494.156,403,599
25,0.976,7009.812,6557,7727,0.976,16977.156,16526,17478,0.976,494.844,412,588
26,0.976,7313.562,6952,7937,0.976,17120.281,16610,17677,0.976,499.344,407,622
27,0.976,7504.031,7108,8140,0.976,17149.281,16690,17504,0.976,496.719,414,597
28,0.976,7790.375,7408,8429,0.976,17176.656,16739,17523,0.976,498.219,424,598
29,0.976,7821.188,7441,8485,0.976,16902.250,16544,17244,0.976,500.188,430,612
30,0.976,7937.000,7583,8469,0.976,16762.000,16375,17172,0.976,485.531,402,624
31,0.976,8044.156,7664,8495,0.976,16697.594,16308,17129,0.976,491.938,406,605
32,0.976,8189.156,7803,8641,0.976,16675.312,16136,17072,0.976,486.812,415,592
33,0.976,8334.000,7965,8868,0.976,16683.938,16447,17041,0.976,487.375,432,632
34,0.976,8609.531,8218,9080,0.976,16904.875,16469,17233,0.976,487.125,416,544
35,0.976,8731.250,8353,9193,0.976,16777.469,16072,17205,0.976,492.125,408,603
36,0.976,8685.281,8442,9067,0.976,16484.094,15892,16943,0.976,484.594,389,623
37,0.976,8747.688,8351,9061,0.976,16380.438,15657,16899,0.976,489.781,412,585
38,0.976,8904.750,8540,9365,0.976,16359.219,15998,16744,0.976,487.188,394,582
39,0.976,8955.344,8547,9248,0.976,16239.312,15861,16602,0.976,489.844,407,581
40,0.976,9062.531,8782,9500,0.976,16203.469,15734,16688,0.976,483.688,402,608
41,0.976,9204.438,8910,9463,0.976,16266.031,15685,16599,0.976,485.781,414,578
42,0.976,9262.469,8937,9627,0.976,16146.344,15716,16526,0.976,471.438,405,582
43,0.976,9302.125,9082,9668,0.976,16073.156,15595,16534,0.976,482.000,413,564
44,0.976,9315.656,8960,9723,0.976,15972.969,15442,16356,0.976,483.219,394,568
45,0.976,9517.781,9329,9921,0.976,16262.625,15629,16700,0.976,479.719,388,575
46,0.976,9524.750,9247,9941,0.976,16078.250,15676,16399,0.976,481.562,401,563
47,0.976,9562.438,9253,9776,0.976,16086.406,15380,16364,0.976,477.062,382,568
48,0.976,9629.406,9367,10019,0.976,15850.719,15341,16303,0.976,483.875,411,555
49,0.976,9700.719,9409,10112,0.976,15874.125,15454,16403,0.976,475.562,416,560
50,0.976,9753.469,9463,10131,0.976,15830.375,15509,16202,0.976,475.250,396,554
51,0.976,9740.500,9413,10047,0.976,15748.562,15337,16120,0.976,475.250,378,556
52,0.976,9849.094,9518,10180,0.976,15704.531,15271,16284,0.976,477.406,405,627
53,0.976,9871.281,9584,10147,0.976,15824.688,15326,16158,0.976,478.500,376,557
54,0.976,9912.469,9646,10314,0.976,15704.688,15217,16041,0.976,464.750,394,588
55,0.976,9992.312,9696,10268,0.976,15729.156,15318,16194,0.976,468.281,378,561
56,0.976,9978.688,9731,10280,0.976,15605.562,15050,15893,0.976,470.281,420,607
57,0.976,10067.781,9744,10223,0.976,15543.312,15102,15905,0.976,472.219,414,586
58,0.976,10154.531,9970,10345,0.976,15562.094,15202,16026,0.976,468.812,404,595
59,0.976,10152.938,9898,10490,0.976,15571.719,15027,15971,0.976,474.125,414,600
60,0.976,10224.500,9827,10609,0.976,15452.750,15026,15816,0.976,469.406,386,593
61,0.976,10343.188,10134,10597,0.976,15482.938,14975,15831,0.976,469.031,402,588
62,0.976,10292.812,10002,10613,0.976,15420.000,14950,15932,0.976,462.625,371,550
63,0.976,10363.000,10183,10698,0.976,15558.531,15165,15960,0.976,468.062,385,562
64,0.976,10443.875,10024,10798,0.976,15572.625,15083,16141,0.976,473.094,405,541
65,0.976,10399.344,10046,10765,0.976,15415.188,14890,15943,0.976,470.469,387,586
66,0.976,10452.219,10060,10675,0.976,15363.719,14914,15931,0.976,466.594,372,546
67,0.976,10450.531,10140,10694,0.976,15430.094,14775,16057,0.976,466.219,405,568
68,0.976,10492.469,10183,10779,0.976,15306.344,14807,15726,0.976,465.000,398,569
69,0.976,10590.000,10290,10872,0.976,15561.094,14761,16133,0.976,467.500,373,567
70,0.976,10602.500,10305,10873,0.976,15319.594,14793,15733,0.976,462.156,398,552
71,0.976,10574.062,10219,10822,0.976,15430.844,14796,15864,0.976,464.562,391,558
72,0.976,10504.438,10203,10820,0.976,15051.531,14377,15440,0.976,497.875,426,605
73,0.976,10611.156,10386,10975,0.976,15196.125,14726,15522,0.976,477.719,404,568
74,0.976,10777.969,10452,11175,0.976,15200.719,14753,15689,0.976,474.188,399,591
75,0.976,10751.719,10435,11120,0.976,15272.750,14866,15810,0.976,482.062,414,577
76,0.976,10828.812,10267,11286,0.976,15289.875,14692,15637,0.976,474.156,423,545
77,0.976,10835.031,10481,11235,0.976,15339.938,14845,15656,0.976,474.062,381,589
78,0.976,10760.906,10465,11087,0.976,15088.969,14665,15495,0.976,475.031,394,561
79,0.976,10926.531,10581,11199,0.976,15327.781,14897,15674,0.976,475.875,413,576
80,0.976,10816.250,10467,11177,0.976,15133.438,14650,15715,0.976,468.062,394,578
81,0.976,10818.812,10542,11058,0.976,15110.406,14687,15617,0.976,471.906,419,576
82,0.976,10847.094,10487,11110,0.976,15109.781,14616,15422,0.976,470.281,386,587
83,0.976,10862.625,10597,11108,0.976,15130.562,14840,15421,0.976,468.312,388,537
84,0.976,10851.031,10532,11147,0.976,15004.656,14667,15274,0.976,473.312,418,572
85,0.976,10930.750,10735,11174,0.976,15043.938,14515,15426,0.976,464.000,367,559
86,0.976,10983.594,10717,11232,0.976,14976.312,14541,15310,0.976,467.125,399,564
