 ,Area1,Mean1,Min1,Max1,Area2,Mean2,Min2,Max2,Area3,Mean3,Min3,Max3
1,0.976,9256.219,8330,9681,0.976,6330.219,5531,6791,0.976,390.250,346,449
2,0.976,8811.844,8011,9263,0.976,6048.094,5147,6536,0.976,373.844,338,424
3,0.976,8581.062,7713,9090,0.976,5883.438,5125,6412,0.976,368.031,329,401
4,0.976,8474.219,7527,8997,0.976,5807.562,5102,6262,0.976,364.938,320,402
5,0.976,8442.719,7588,9018,0.976,5750.031,5065,6330,0.976,357.625,330,399
6,0.976,7920.906,6834,8712,0.976,4901.781,4290,5348,0.976,329.531,302,368
7,0.976,8408.750,7548,8867,0.976,5694.031,5045,6294,0.976,358.969,332,408
8,0.976,8262.250,7543,8817,0.976,5605.188,4668,6025,0.976,341.625,308,377
9,0.976,8272.219,7596,8730,0.976,5558.500,4863,5969,0.976,357.188,320,398
10,0.976,8305.469,7432,8800,0.976,5590.500,4912,5981,0.976,345.969,305,392
11,0.976,2813.594,2408,3191,0.976,5920.250,5107,6376,0.976,356.125,320,404
12,0.976,3467.688,2878,3925,0.976,5705.219,4668,6288,0.976,342.500,290,389
13,0.976,3909.500,3325,4478,0.976,5594.219,4782,6053,0.976,347.344,314,376
14,0.976,4181.781,3568,4606,0.976,5536.125,4793,6076,0.976,352.250,315,377
15,0.976,4592.844,4076,4945,0.976,5551.750,4848,6022,0.976,351.500,316,406
16,0.976,4628.219,4176,4946,0.976,5459.688,4739,6097,0.976,341.094,296,400
17,0.976,4743.250,4241,5256,0.976,5448.562,4794,5948,0.976,344.750,308,367
18,0.976,4929.938,4554,5262,0.976,5395.438,4634,5865,0.976,332.250,301,364
19,0.976,4976.688,4535,5366,0.976,5336.844,4529,5820,0.976,332.812,288,374
20,0.976,5326.594,4891,5727,0.976,5520.594,4699,6002,0.976,345.875,301,392
21,0.976,5309.594,4761,5788,0.976,5392.156,4791,5894,0.976,337.406,302,375
22,0.976,5399.188,4739,5826,0.976,5330.750,4644,5814,0.976,339.781,286,403
23,0.976,5454.250,5005,5887,0.976,5259.000,4404,5696,0.976,332.188,274,380
24,0.976,5528.625,4983,5892,0.976,5234.438,4429,5759,0.976,344.344,306,395
25,0.976,5582.438,5021,5928,0.976,5262.250,4553,5809,0.976,338.344,303,369
26,0.976,5630.625,5092,6004,0.976,5210.781,4528,5664,0.976,332.906,306,377
27,0.976,5655.531,5052,6055,0.976,5252.219,4700,5753,0.976,336.156,312,375
28,0.976,5727.281,5105,6092,0.976,5204.781,4487,5782,0.976,334.844,302,371
29,0.976,5770.781,5268,6216,0.976,5168.625,4513,5610,0.976,341.875,297,387
30,0.976,5876.594,5199,6201,0.976,5177.375,4523,5591,0.976,338.969,311,384
31,0.976,5886.594,5365,6282,0.976,5130.219,4386,5630,0.976,332.844,297,368
32,0.976,5969.438,5236,6371,0.976,5100.562,4433,5480,0.976,333.156,298,371
33,0.976,5937.844,5364,6242,0.976,5132.500,4536,5578,0.976,331.469,295,402
34,0.976,5962.969,5381,6312,0.976,5093.375,4348,5546,0.976,345.969,313,378
35,0.976,6042.531,5346,6414,0.976,5036.875,4383,5414,0.976,333.812,294,382
36,0.976,6120.688,5584,6417,0.976,5035.031,4257,5512,0.976,336.688,300,371
37,0.976,6108.094,5604,6494,0.976,5050.281,4359,5604,0.976,333.844,289,373
38,0.976,6149.594,5668,6594,0.976,5068.438,4360,5632,0.976,326.094,284,371
39,0.976,6182.000,5583,6552,0.976,4988.688,4318,5501,0.976,342.250,297,375
40,0.976,6157.656,5618,6637,0.976,4976.031,4209,5425,0.976,338.094,297,373
41,0.976,6213.531,5573,6567,0.976,5032.969,4246,5444,0.976,335.812,308,383
42,0.976,6268.438,5720,6619,0.976,5027.062,4365,5397,0.976,330.156,297,372
43,0.976,6326.250,5698,6832,0.976,4978.469,4364,5441,0.976,327.719,293,367
44,0.976,6362.188,5748,6766,0.976,4963.969,4322,5372,0.976,336.438,299,384
45,0.976,6331.875,5760,6735,0.976,4987.938,4347,5481,0.976,334.625,290,378
46,0.976,6349.656,5792,6884,0.976,4997.500,4204,5392,0.976,336.062,315,362
47,0.976,6416.688,5865,6922,0.976,4974.469,4081,5391,0.976,343.062,313,389
48,0.976,6386.344,5808,6836,0.976,4933.562,4327,5324,0.976,332.938,301,366
49,0.976,6393.406,5869,6847,0.976,4963.156,4239,5425,0.976,337.844,292,405
50,0.976,6420.375,5812,6868,0.976,5000.656,4108,5446,0.976,334.469,297,373
51,0.976,6516.625,5873,7036,0.976,4988.688,4149,5470,0.976,336.312,306,383
52,0.976,6551.375,5718,6862,0.976,4973.156,4143,5467,0.976,342.125,312,395
53,0.976,6550.156,5985,6919,0.976,5018.750,4211,5541,0.976,335.500,294,386
54,0.976,6516.344,5784,6884,0.976,4962.344,4130,5448,0.976,338.438,296,372
55,0.976,6522.375,5958,6890,0.976,4939.719,4017,5390,0.976,339.250,306,368
56,0.976,6505.875,5919,7002,0.976,4995.906,4122,5473,0.976,327.031,295,355
57,0.976,6563.312,5901,6958,0.976,4964.875,4037,5511,0.976,332.562,298,371
58,0.976,6606.906,5934,7026,0.976,4933.000,4146,5392,0.976,331.062,296,369
59,0.976,6634.781,6000,7002,0.976,4959.719,3989,5429,0.976,336.875,294,389
60,0.976,6695.875,6076,7141,0.976,4922.219,3954,5386,0.976,334.906,299,364
61,0.976,6589.812,5814,7116,0.976,4891.281,3901,5376,0.976,333.625,305,379
62,0.976,6733.500,6088,7102,0.976,4945.938,3946,5546,0.976,322.969,289,379
63,0.976,6685.062,5995,7170,0.976,4920.312,4016,5437,0.976,326.781,280,372
64,0.976,6756.406,5863,7176,0.976,4903.375,3991,5408,0.976,327.594,297,362
65,0.976,6738.812,6046,7278,0.976,4877.656,3909,5384,0.976,341.500,305,383
66,0.976,6722.688,5873,7197,0.976,4897.156,3912,5537,0.976,346.031,296,385
67,0.976,6712.906,6178,7161,0.976,4880.406,3840,5507,0.976,332.500,293,380
68,0.976,6640.000,5888,7165,0.976,4888.594,3841,5427,0.976,337.156,288,381
69,0.976,6694.594,6148,7116,0.976,4899.281,3965,5393,0.976,334.719,299,381
70,0.976,6696.875,6055,7207,0.976,4892.719,3843,5368,0.976,325.656,297,364
71,0.976,6661.375,5995,7138,0.976,4857.188,3953,5438,0.976,323.188,287,362
72,0.976,6763.938,6080,7102,0.976,4871.969,3898,5418,0.976,332.312,286,367
73,0.976,6683.250,5974,7177,0.976,4830.781,3794,5352,0.976,331.250,289,361
74,0.976,6816.125,6117,7365,0.976,4826.500,3844,5252,0.976,339.656,308,369
75,0.976,6723.656,5896,7173,0.976,4814.875,3691,5281,0.976,334.438,287,378
76,0.976,6901.500,6215,7353,0.976,4857.688,3867,5367,0.976,338.594,302,372
77,0.976,6792.719,6020,7313,0.976,4822.625,4058,5251,0.976,335.375,303,383
78,0.976,6744.781,6058,7181,0.976,4821.562,3761,5389,0.976,337.469,300,383
79,0.976,6797.188,6169,7175,0.976,4834.750,3600,5545,0.976,340.844,306,383
80,0.976,6790.469,5991,7289,0.976,4786.125,3486,5329,0.976,332.312,280,382
81,0.976,6764.750,6060,7252,0.976,4731.312,3540,5350,0.976,329.281,282,378
82,0.976,6785.781,5950,7233,0.976,4732.969,3494,5310,0.976,326.344,267,347
83,0.976,6847.031,6124,7245,0.976,4800.531,3424,5510,0.976,333.219,296,364
84,0.976,6934.469,6287,7486,0.976,4776.969,3470,5492,0.976,334.094,291,368
85,0.976,6895.469,6220,7452,0.976,4732.875,3396,5390,0.976,344.250,307,418
86,0.976,6792.875,6179,7333,0.976,4773.406,3660,5524,0.976,339.344,311,372
87,0.976,6820.750,6215,7234,0.976,4733.656,3482,5328,0.976,338.094,307,371
88,0.976,6704.344,5998,7109,0.976,4701.344,3410,5369,0.976,332.750,283,370
89,0.976,6819.000,6137,7403,0.976,4741.344,3476,5450,0.976,336.594,301,368
90,0.976,6819.312,6028,7314,0.976,4748.438,3550,5390,0.976,345.156,313,371
91,0.976,6846.844,6095,7363,0.976,4705.500,3376,5347,0.976,342.625,317,380
92,0.976,6839.344,6090,7340,0.976,4715.688,3451,5502,0.976,332.844,295,372
93,0.976,6850.594,6176,7303,0.976,4748.469,3465,5393,0.976,339.250,295,382
94,0.976,6832.781,6051,7372,0.976,4745.750,3488,5462,0.976,333.719,300,364
95,0.976,6960.469,6368,7441,0.976,4780.969,3320,5546,0.976,329.500,295,377
