 ,Area1,Mean1,Min1,Max1,Area2,Mean2,Min2,Max2,Area3,Mean3,Min3,Max3
478,1.585,940.712,707,1342,1.585,4467.000,4254,4702,1.585,187.019,159,214
479,1.585,937.808,708,1340,1.585,4501.577,4311,4694,1.585,186.981,156,216
480,1.585,963.827,744,1298,1.585,4618.096,4378,4803,1.585,190.885,168,223
481,1.585,953.558,728,1321,1.585,4520.808,4250,4731,1.585,186.192,160,225
482,1.585,931.019,701,1260,1.585,4483.500,4225,4699,1.585,188.635,156,212
483,1.585,948.462,734,1313,1.585,4539.231,4284,4749,1.585,186.404,158,215
484,1.585,952.827,693,1306,1.585,4585.192,4330,4852,1.585,189.019,159,212
485,1.585,936.115,704,1327,1.585,4525.173,4250,4788,1.585,188.846,154,214
486,1.585,928.750,701,1307,1.585,4492.519,4240,4722,1.585,185.923,161,209
487,1.585,965.827,680,1412,1.585,4661.423,4345,4976,1.585,190.096,159,220
488,1.585,940.673,698,1352,1.585,4548.654,4358,4817,1.585,187.269,162,232
489,1.585,939.154,707,1378,1.585,4512.789,4286,4808,1.585,187.615,166,213
490,1.585,937.250,709,1323,1.585,4474.077,4252,4713,1.585,183.212,155,209
491,1.585,928.212,744,1337,1.585,4467.077,4211,4705,1.585,188.577,163,213
492,1.585,948.885,724,1300,1.585,4576.096,4372,4806,1.585,189.769,158,232
493,1.585,975.250,763,1323,1.585,4626.039,4409,4776,1.585,188.000,151,210
494,1.585,949.558,730,1274,1.585,4522.423,4260,4757,1.585,183.365,160,209
495,1.585,959.288,725,1251,1.585,4581.423,4318,4809,1.585,192.000,173,223
496,1.585,948.327,716,1306,1.585,4491.115,4229,4711,1.585,187.135,162,212
497,1.585,938.192,747,1373,1.585,4485.846,4224,4746,1.585,186.019,153,217
498,1.585,935.865,725,1310,1.585,4458.211,4184,4801,1.585,187.308,156,224
499,1.585,937.019,752,1248,1.585,4466.577,4245,4698,1.585,183.250,163,208
500,1.585,984.788,782,1376,1.585,4651.789,4373,4940,1.585,187.038,160,214
501,1.585,975.846,748,1419,1.585,4611.365,4365,4933,1.585,188.558,165,226
502,1.585,946.981,742,1297,1.585,4485.846,4238,4711,1.585,184.423,155,215
503,1.585,947.865,761,1255,1.585,4464.192,4267,4674,1.585,187.077,161,216
504,1.585,944.077,738,1320,1.585,4464.654,4204,4804,1.585,184.327,159,225
505,1.585,942.808,756,1276,1.585,4417.577,4158,4606,1.585,186.115,161,228
506,1.585,936.558,724,1287,1.585,4408.154,4121,4621,1.585,183.577,158,209
507,1.585,935.404,738,1265,1.585,4420.558,4107,4610,1.585,186.404,157,218
508,1.585,942.692,720,1268,1.585,4419.846,4176,4621,1.585,187.269,165,216
509,1.585,937.192,710,1211,1.585,4425.500,4102,4718,1.585,184.577,149,209
510,1.585,943.673,702,1264,1.585,4442.539,4170,4718,1.585,185.173,163,220
511,1.585,953.192,727,1292,1.585,4487.846,4224,4757,1.585,181.654,145,223
512,1.585,955.135,739,1339,1.585,4514.654,4257,4757,1.585,184.712,162,210
513,1.585,968.962,738,1326,1.585,4490.596,4237,4818,1.585,187.846,162,223
514,1.585,940.712,724,1256,1.585,4443.904,4123,4632,1.585,187.365,160,217
515,1.585,938.538,732,1206,1.585,4391.058,4124,4627,1.585,185.769,153,220
516,1.585,943.673,752,1285,1.585,4397.981,4178,4642,1.585,183.654,160,206
517,1.585,941.538,726,1272,1.585,4386.365,4097,4538,1.585,182.327,162,212
518,1.585,933.135,741,1202,1.585,4380.135,4134,4693,1.585,181.923,161,223
519,1.585,945.750,717,1274,1.585,4400.635,4199,4636,1.585,184.077,158,211
520,1.585,963.865,767,1286,1.585,4463.789,4175,4650,1.585,187.038,160,211
521,1.585,942.558,739,1284,1.585,4397.519,4154,4604,1.585,180.904,161,211
522,1.585,972.538,755,1267,1.585,4521.442,4236,4901,1.585,188.731,163,214
523,1.585,971.923,753,1378,1.585,4467.231,4218,4692,1.585,184.981,161,218
524,1.585,959.692,719,1300,1.585,4453.904,4140,4729,1.585,184.962,160,220
525,1.585,953.058,739,1256,1.585,4390.711,4176,4639,1.585,184.404,158,210
526,1.585,947.346,743,1288,1.585,4372.096,4101,4626,1.585,183.038,160,214
527,1.585,953.577,716,1245,1.585,4353.192,4106,4670,1.585,183.962,149,227
528,1.585,943.538,752,1221,1.585,4360.231,4158,4616,1.585,182.923,153,207
529,1.585,975.115,752,1259,1.585,4495.289,4283,4721,1.585,185.212,151,215
530,1.585,954.019,703,1311,1.585,4416.615,4125,4714,1.585,184.327,166,218
531,1.585,976.115,762,1372,1.585,4480.731,4256,4816,1.585,186.173,151,220
532,1.585,970.038,758,1324,1.585,4401.019,4173,4573,1.585,182.462,156,216
533,1.585,990.731,767,1391,1.585,4540.154,4238,4822,1.585,188.096,159,221
534,1.585,993.173,775,1356,1.585,4501.250,4284,4801,1.585,187.442,166,216
535,1.585,1004.385,794,1408,1.585,4582.154,4352,4847,1.585,185.750,162,212
536,1.585,981.712,762,1318,1.585,4448.039,4168,4734,1.585,182.538,161,212
537,1.585,980.692,792,1318,1.585,4442.635,4188,4858,1.585,183.712,155,208
538,1.585,963.192,727,1273,1.585,4415.115,4165,4616,1.585,180.423,151,207
539,1.585,960.038,741,1302,1.585,4366.692,4166,4609,1.585,182.654,163,211
540,1.585,956.365,704,1284,1.585,4346.192,4159,4626,1.585,180.750,162,221
541,1.585,971.096,757,1344,1.585,4421.423,4195,4658,1.585,182.038,156,218
542,1.585,982.731,753,1342,1.585,4468.404,4218,4693,1.585,183.288,161,220
543,1.585,959.327,721,1223,1.585,4363.461,4085,4583,1.585,182.154,156,213
544,1.585,970.673,771,1255,1.585,4438.058,4247,4648,1.585,186.962,159,214
545,1.585,1019.712,817,1436,1.585,4602.154,4424,4867,1.585,186.423,164,216
546,1.585,986.731,736,1304,1.585,4492.192,4222,4705,1.585,185.827,161,208
547,1.585,1023.635,778,1372,1.585,4572.808,4350,4777,1.585,187.673,162,219
548,1.585,1010.250,791,1376,1.585,4547.942,4305,4739,1.585,188.981,161,227
549,1.585,996.288,785,1325,1.585,4507.404,4263,4713,1.585,185.442,161,219
550,1.585,980.981,759,1386,1.585,4423.539,4150,4708,1.585,185.192,154,221
551,1.585,970.731,713,1306,1.585,4383.596,4187,4603,1.585,183.154,160,215
552,1.585,989.538,771,1323,1.585,4430.750,4228,4674,1.585,182.827,156,218
553,1.585,981.462,782,1332,1.585,4354.250,4181,4577,1.585,183.712,164,219
554,1.585,974.558,767,1366,1.585,4339.577,4180,4548,1.585,181.885,159,208
555,1.585,985.250,791,1356,1.585,4372.635,4081,4575,1.585,184.288,162,210
556,1.585,1003.827,706,1348,1.585,4477.423,4241,4779,1.585,184.519,155,214
557,1.585,986.865,775,1348,1.585,4421.635,4194,4657,1.585,185.019,161,203
558,1.585,992.096,804,1318,1.585,4451.615,4242,4664,1.585,183.769,157,214
559,1.585,974.346,774,1331,1.585,4373.461,4177,4619,1.585,183.865,156,215
560,1.585,978.135,745,1339,1.585,4348.904,4084,4631,1.585,182.654,163,211
561,1.585,967.788,791,1327,1.585,4327.096,4110,4580,1.585,183.288,159,209
562,1.585,990.231,777,1334,1.585,4449.211,4199,4636,1.585,185.596,154,219
563,1.585,988.962,793,1331,1.585,4416.846,4128,4702,1.585,185.712,151,225
564,1.585,981.635,707,1390,1.585,4391.942,4152,4623,1.585,182.231,155,220
565,1.585,976.038,764,1325,1.585,4307.885,4079,4571,1.585,182.327,159,213
566,1.585,997.923,795,1333,1.585,4440.577,4179,4691,1.585,183.269,157,213
567,1.585,982.558,801,1338,1.585,4351.231,4107,4561,1.585,182.288,164,210
568,1.585,978.212,778,1289,1.585,4361.731,4118,4584,1.585,181.327,155,214
569,1.585,963.019,740,1315,1.585,4279.846,4039,4607,1.585,179.538,153,202
570,1.585,960.327,730,1285,1.585,4305.558,4080,4534,1.585,179.788,160,205
571,1.585,964.135,759,1300,1.585,4306.058,4094,4501,1.585,179.654,155,236
572,1.585,965.250,687,1298,1.585,4242.711,4035,4500,1.585,178.308,152,205
573,1.585,967.577,714,1312,1.585,4270.711,4026,4578,1.585,181.192,153,213
574,1.585,957.288,771,1327,1.585,4262.750,4066,4451,1.585,182.173,151,207
575,1.585,960.365,701,1335,1.585,4250.692,4036,4460,1.585,180.365,155,214
576,1.585,953.981,763,1314,1.585,4274.961,4046,4532,1.585,181.962,160,215
577,1.585,1019.288,798,1364,1.585,4436.096,4260,4646,1.585,184.808,148,222
578,1.585,981.731,777,1311,1.585,4339.519,4114,4523,1.585,179.731,156,208
579,1.585,1009.577,809,1366,1.585,4388.481,4146,4688,1.585,185.327,162,206
580,1.585,996.596,786,1328,1.585,4331.173,4092,4709,1.585,179.942,160,200
581,1.585,985.442,792,1321,1.585,4381.269,4191,4691,1.585,180.635,158,205
582,1.585,1014.904,792,1397,1.585,4462.692,4218,4679,1.585,182.885,155,214
583,1.585,988.404,745,1353,1.585,4344.769,4170,4634,1.585,183.135,157,214
584,1.585,1015.385,828,1365,1.585,4400.154,4173,4701,1.585,182.346,159,220
585,1.585,997.962,767,1374,1.585,4323.442,4028,4586,1.585,181.077,161,211
586,1.585,987.442,783,1403,1.585,4270.692,4014,4484,1.585,179.500,146,213
587,1.585,975.846,761,1327,1.585,4250.250,3993,4462,1.585,180.962,153,215
588,1.585,980.750,783,1383,1.585,4244.404,4049,4473,1.585,181.058,156,216
589,1.585,977.788,703,1334,1.585,4238.077,4022,4471,1.585,180.808,154,224
590,1.585,986.096,745,1338,1.585,4292.711,4034,4548,1.585,180.519,160,207
591,1.585,974.000,728,1293,1.585,4232.231,4089,4418,1.585,179.923,158,205
592,1.585,993.385,816,1342,1.585,4312.250,4084,4544,1.585,182.346,162,220
593,1.585,984.231,769,1366,1.585,4301.192,4096,4496,1.585,181.346,157,210
594,1.585,1002.404,827,1325,1.585,4396.461,4175,4599,1.585,183.442,160,206
595,1.585,1006.250,800,1365,1.585,4359.423,4169,4562,1.585,184.231,161,216
596,1.585,999.192,804,1373,1.585,4303.769,4123,4557,1.585,181.596,160,210
597,1.585,1025.692,829,1384,1.585,4452.461,4229,4724,1.585,182.846,151,208
598,1.585,1009.962,768,1351,1.585,4364.769,4084,4672,1.585,182.827,162,210
599,1.585,1032.731,823,1432,1.585,4423.115,4143,4695,1.585,183.096,151,220
600,1.585,1016.481,805,1419,1.585,4391.442,4129,4615,1.585,184.481,162,207
601,1.585,1023.077,808,1368,1.585,4419.981,4177,4655,1.585,183.365,152,210
602,1.585,997.058,799,1424,1.585,4315.731,4059,4551,1.585,182.135,166,207
603,1.585,996.192,799,1373,1.585,4276.327,4045,4578,1.585,180.096,153,201
604,1.585,989.846,817,1275,1.585,4237.231,4011,4478,1.585,181.577,153,228
605,1.585,1003.712,819,1336,1.585,4285.711,3961,4583,1.585,182.365,158,215
606,1.585,979.192,796,1294,1.585,4232.808,4040,4438,1.585,178.942,152,227
607,1.585,1005.500,782,1346,1.585,4315.154,4071,4556,1.585,181.038,155,221
608,1.585,992.212,786,1324,1.585,4251.077,4059,4483,1.585,180.962,156,207
609,1.585,986.635,807,1271,1.585,4230.769,3956,4480,1.585,182.231,153,234
610,1.585,997.000,791,1377,1.585,4281.154,4082,4527,1.585,182.288,157,204
611,1.585,1006.712,820,1316,1.585,4301.327,4064,4523,1.585,182.731,161,210
612,1.585,1003.135,812,1340,1.585,4239.385,3995,4509,1.585,181.654,159,206
613,1.585,1005.442,798,1355,1.585,4326.789,4001,4588,1.585,181.288,154,213
614,1.585,994.596,766,1362,1.585,4255.692,4022,4487,1.585,178.788,154,216
615,1.585,992.962,794,1315,1.585,4228.846,3982,4486,1.585,182.558,158,231
616,1.585,980.635,800,1383,1.585,4216.289,4018,4483,1.585,181.692,157,210
617,1.585,1002.423,762,1451,1.585,4265.365,3971,4466,1.585,182.000,159,206
618,1.585,987.096,781,1343,1.585,4197.519,3968,4414,1.585,179.769,157,218
619,1.585,990.808,758,1353,1.585,4194.211,3961,4412,1.585,179.077,159,215
620,1.585,990.058,791,1420,1.585,4184.577,3981,4413,1.585,179.846,152,224
621,1.585,985.692,811,1317,1.585,4153.789,3956,4419,1.585,182.385,164,216
622,1.585,976.635,783,1297,1.585,4162.750,3889,4396,1.585,179.923,152,207
623,1.585,976.000,775,1347,1.585,4146.019,3901,4425,1.585,178.558,158,206
624,1.585,1026.212,819,1352,1.585,4369.827,4084,4571,1.585,183.981,167,213
625,1.585,998.635,789,1304,1.585,4217.192,3981,4498,1.585,181.288,161,206
626,1.585,989.788,802,1365,1.585,4229.577,3992,4405,1.585,181.558,153,218
627,1.585,993.692,790,1283,1.585,4160.596,3966,4385,1.585,179.846,151,216
628,1.585,983.500,772,1291,1.585,4149.519,3911,4378,1.585,180.269,148,217
629,1.585,1020.115,796,1330,1.585,4274.519,4067,4499,1.585,183.423,162,223
630,1.585,1001.712,784,1277,1.585,4235.173,4007,4482,1.585,180.942,158,215
631,1.585,992.192,786,1389,1.585,4213.289,4038,4477,1.585,179.942,157,207
632,1.585,993.654,771,1422,1.585,4149.289,3912,4366,1.585,179.538,158,210
633,1.585,989.885,782,1344,1.585,4144.461,3907,4384,1.585,178.673,152,204
634,1.585,994.192,776,1300,1.585,4158.077,3932,4486,1.585,179.038,157,199
635,1.585,987.596,780,1301,1.585,4139.577,3939,4454,1.585,178.615,147,216
636,1.585,995.558,773,1282,1.585,4196.135,4008,4360,1.585,178.731,151,207
637,1.585,997.115,770,1309,1.585,4192.827,4016,4409,1.585,182.673,156,204
638,1.585,995.885,790,1330,1.585,4143.577,3903,4346,1.585,178.808,153,207
639,1.585,1007.808,809,1358,1.585,4216.154,4056,4393,1.585,182.673,160,208
640,1.585,999.000,787,1352,1.585,4178.981,4004,4424,1.585,182.308,157,205
641,1.585,997.788,794,1355,1.585,4130.385,3923,4345,1.585,181.327,152,216
642,1.585,991.750,760,1347,1.585,4134.192,3957,4371,1.585,181.000,153,207
643,1.585,992.154,774,1323,1.585,4113.981,3912,4307,1.585,177.654,150,203
644,1.585,988.769,801,1293,1.585,4115.135,3900,4321,1.585,176.596,142,210
645,1.585,977.731,774,1332,1.585,4103.289,3897,4336,1.585,179.558,160,202
646,1.585,990.769,796,1321,1.585,4107.808,3845,4373,1.585,178.654,154,205
647,1.585,985.731,756,1335,1.585,4098.173,3857,4391,1.585,177.288,157,204
648,1.585,1007.231,803,1327,1.585,4185.904,3972,4424,1.585,181.154,159,198
649,1.585,1017.635,798,1381,1.585,4202.096,4047,4413,1.585,179.596,155,202
650,1.585,997.019,740,1422,1.585,4160.423,3939,4420,1.585,179.692,160,214
651,1.585,987.154,788,1301,1.585,4108.385,3849,4394,1.585,178.442,147,197
652,1.585,1000.635,803,1314,1.585,4104.211,3925,4310,1.585,175.962,154,205
653,1.585,1004.712,796,1390,1.585,4164.519,3900,4375,1.585,177.750,154,201
654,1.585,1018.481,816,1365,1.585,4178.308,3935,4478,1.585,177.558,159,211
655,1.585,1007.231,820,1285,1.585,4160.865,3986,4365,1.585,178.827,157,204
656,1.585,1002.519,808,1340,1.585,4152.250,3940,4429,1.585,176.308,150,199
657,1.585,996.327,787,1309,1.585,4069.750,3887,4331,1.585,174.692,134,214
658,1.585,990.788,813,1317,1.585,4100.731,3855,4284,1.585,179.788,153,223
659,1.585,1014.269,805,1354,1.585,4196.308,3994,4356,1.585,179.481,148,213
660,1.585,996.923,808,1325,1.585,4102.385,3872,4334,1.585,176.808,152,200
661,1.585,1023.904,815,1470,1.585,4195.308,3950,4388,1.585,181.712,147,207
662,1.585,1001.462,810,1349,1.585,4107.039,3936,4340,1.585,177.058,152,209
663,1.585,997.635,798,1386,1.585,4106.346,3835,4386,1.585,179.788,155,213
664,1.585,1003.019,799,1356,1.585,4067.923,3778,4251,1.585,180.115,160,209
665,1.585,996.385,799,1301,1.585,4098.731,3832,4280,1.585,177.115,154,205
666,1.585,1020.788,851,1346,1.585,4146.500,3967,4375,1.585,178.558,149,211
667,1.585,1014.346,835,1387,1.585,4072.539,3866,4260,1.585,176.038,153,201
668,1.585,1004.904,796,1405,1.585,4142.192,3857,4297,1.585,177.500,158,204
669,1.585,1008.635,803,1380,1.585,4082.115,3886,4258,1.585,178.731,143,207
670,1.585,1004.962,833,1316,1.585,4058.019,3826,4293,1.585,176.173,155,198
671,1.585,1020.212,823,1420,1.585,4139.192,3925,4370,1.585,175.981,152,207
672,1.585,1005.808,806,1346,1.585,4073.711,3869,4307,1.585,180.558,157,210
673,1.585,1040.288,845,1373,1.585,4203.211,4018,4439,1.585,179.558,161,210
674,1.585,1018.231,827,1367,1.585,4132.385,3928,4369,1.585,181.346,151,211
675,1.585,1011.423,799,1346,1.585,4101.885,3842,4299,1.585,179.962,146,211
676,1.585,1013.904,811,1384,1.585,4103.558,3843,4299,1.585,176.712,149,203
677,1.585,1036.981,835,1342,1.585,4212.039,3938,4441,1.585,180.173,150,205
678,1.585,1019.577,835,1350,1.585,4105.423,3866,4301,1.585,177.212,156,197
679,1.585,992.865,817,1367,1.585,4094.635,3909,4310,1.585,175.212,155,202
680,1.585,1020.058,817,1303,1.585,4118.211,3956,4316,1.585,179.173,151,212
681,1.585,1013.615,823,1351,1.585,4124.327,3917,4323,1.585,180.288,153,208
682,1.585,1030.385,799,1359,1.585,4176.635,4008,4385,1.585,178.769,155,212
683,1.585,1017.212,849,1364,1.585,4087.173,3878,4288,1.585,178.981,159,203
684,1.585,1015.962,836,1295,1.585,4092.135,3880,4302,1.585,178.904,150,226
685,1.585,1003.385,814,1303,1.585,4060.539,3838,4252,1.585,176.692,148,206
686,1.585,1013.019,838,1328,1.585,4081.096,3873,4354,1.585,178.519,149,199
687,1.585,1011.558,839,1327,1.585,4043.442,3863,4266,1.585,175.923,153,193
